study_id,author,year,theme,results_convergence_score,top_3_similar_results,dominant_result_keywords
46,"Ongo et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",15.15,Nguemkap et Dieng (2022) (29.4%); Mafang et al. (2022) (8.5%); Nguemkap (2023) (7.6%),"lecture, mathematiques, scolaires, famille, caracteristiques"
64,Kanyongo et Brown (2013),2013,Principaux résultats et recommandations de politique éducative,13.47,Armstrong (2015) (24.2%); Venkat et Spaull (2015) (9.7%); Bekkouche et Dupraz (2023) (6.5%),"enseignants, mathematiques, ages, ameliorer, jeunes"
40,Nguemkap et Dieng (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",13.26,"Ongo et al., (2022) (29.4%); Nguemkap (2023) (5.3%); Kadio (2022) (5.1%)","niveau, variance, totale, lecture, mathematiques"
60,Armstrong (2015),2015,Principaux résultats et recommandations de politique éducative,12.5,"Kanyongo et Brown (2013) (24.2%); Lauchande et al., (2017) (7.0%); Wamala et Seruwagi (2012) (6.3%)","enseignants, jeunes, ages, formation, ameliorent"
77,Sumida et Kawata (2021),2021,Facteurs socio-économiques et inégalités et participation communautaire,11.62,Burger (2011) (14.9%); Zhang (2006) (13.3%); Kadio (2022) (6.7%),"zones, rurales, differences, caracteristiques, apprentissage"
78,Burger (2011),2011,Facteurs socio-économiques et inégalités et participation communautaire,11.01,"Sumida et Kawata (2021) (14.9%); Zhang (2006) (12.3%); Dickerson et al., (2015) (5.9%)","ecart, ressources, differences, zones, rurales"
29,Taniguchi (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",10.85,Taniguchi (2024) (18.6%); Bekkouche et Dupraz (2023) (7.4%); Kazima (2014) (6.6%),"enfants, meilleurs, ont, suivi, enseignement"
76,Zhang (2006),2006,Facteurs socio-économiques et inégalités et participation communautaire,10.77,Sumida et Kawata (2021) (13.3%); Burger (2011) (12.3%); Sanfo (2023) (6.7%),"scolaires, zones, rurales, urbaines, differences"
47,Kadio (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",10.28,"Kadio et al., (2022) (13.5%); Yu et Thomas (2008) (10.4%); Servaas van der Berg (2008) (6.9%)","parents, statut, socio-economique, differences, sein"
50,Taniguchi (2024),2024,"Contextes spécifiques : conflits, mines, multilinguisme",9.58,Taniguchi (2022) (18.6%); Salah et Saxena (2025) (5.7%); Smith et Barrett (2010) (4.4%),"enfants, ayant, preprimaire, ceux, ressources"
25,Yu et Thomas (2008),2008,"Contextes spécifiques : conflits, mines, multilinguisme",9.55,"Kadio (2022) (10.4%); Kanyongo, et al., (2006) (10.1%); Sanfo et al., (2024) (8.1%)","facteurs, montrent, differences, significativement, influencees"
39,"Kanyongo, et al., (2006)",2006,"Contextes spécifiques : conflits, mines, multilinguisme",8.54,Yu et Thomas (2008) (10.1%); Kanyongo et Ayieko (2017) (8.9%); Zhang (2006) (6.5%),"lecture, ressources, soutien, parental, domicile"
67,"Lauchande et al., (2017)",2017,Principaux résultats et recommandations de politique éducative,8.41,Bennell (2023) (10.9%); Hanchane et Kadio (2022) (7.4%); Armstrong (2015) (7.0%),"enseignants, socio-economiques, renforcer, issus, milieux"
72,Miningou (2022),2022,Facteurs socio-économiques et inégalités et participation communautaire,8.2,"Hossain et Bertta (2025) (8.5%); Dickerson et al., (2015) (8.4%); Lee et al., (2018) (7.7%)","infrastructures, ecart, mathematiques, filles, montrent"
75,Hossain et Bertta (2025),2025,Facteurs socio-économiques et inégalités et participation communautaire,8.2,Miningou (2022) (8.5%); Kadio (2025) (8.3%); Kanyongo et Ayieko (2017) (7.8%),"communaute, ressources, scolaires, implication, significativement"
26,Bennell (2023),2023,"Contextes spécifiques : conflits, mines, multilinguisme",8.18,"Lauchande et al., (2017) (10.9%); Kadio (2025) (8.4%); Hanchane et Kadio (2022) (5.3%)","cours, particuliers, socio-economiques, inegalites, educatives"
80,Kanyongo et Ayieko (2017),2017,Facteurs socio-économiques et inégalités et participation communautaire,8.11,"Kanyongo, et al., (2006) (8.9%); Hossain et Bertta (2025) (7.8%); Kadio (2025) (7.6%)","meilleures, taille, scolaires, niveau, socioeconomique"
45,Kadio (2025),2025,"Contextes spécifiques : conflits, mines, multilinguisme",8.1,Bennell (2023) (8.4%); Hossain et Bertta (2025) (8.3%); Kanyongo et Ayieko (2017) (7.6%),"ressources, antecedents, socio-economiques, scolaires, ont"
59,Venkat et Spaull (2015),2015,Principaux résultats et recommandations de politique éducative,8.05,Kanyongo et Brown (2013) (9.7%); Taylor et Spaull (2015) (7.8%); Kazima (2014) (6.7%),"mathematiques, annee, ont, enseignants, recu"
10,"Kadio et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",8.04,Kadio (2022) (13.5%); Hanchane et Kadio (2022) (6.3%); Kadio (2025) (4.3%),"apc, ressources, exerce, influence, negative"
6,"Kuecken et al., (2013)",2013,"Contextes spécifiques : conflits, mines, multilinguisme",7.76,Frölich et Michaelowa (2011) (10.4%); Spaul (2011) (6.7%); Kadio (2022) (6.2%),"manuels, acces, partage, scolaires, existe"
48,Bekkouche et Dupraz (2023),2023,"Contextes spécifiques : conflits, mines, multilinguisme",7.61,Mafang et al. (2022) (8.5%); Taniguchi (2022) (7.4%); Medu et Rowlands (2022) (7.0%),"francophones, francophone, obtiennent, meilleurs, mathematiques"
23,Mafang et al. (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",7.54,"Ongo et al., (2022) (8.5%); Bekkouche et Dupraz (2023) (8.5%); Kadio (2025) (5.7%)","conditions, sous-systeme, montrent, francophone, obtiennent"
15,Taylor et Spaull (2015),2015,"Contextes spécifiques : conflits, mines, multilinguisme",7.46,Venkat et Spaull (2015) (7.8%); Zuze et Leibbrandt (2010) (7.7%); Spaull et Taylor (2015) (6.9%),"acces, amelioration, accompagnee, apprentissage, montrent"
70,"Dickerson et al., (2015)",2015,Facteurs socio-économiques et inégalités et participation communautaire,7.4,"Miningou (2022) (8.4%); Ishii et Ogawa, (2024) (7.0%); Zuze et Reddy (2014) (6.9%)","sexes, filles, ecart, differences, mathematiques"
14,Atuhurra (2016),2016,"Contextes spécifiques : conflits, mines, multilinguisme",7.25,Hungi et Thuku (2009) (9.4%); Yu et Thomas (2008) (7.2%); Hossain et Bertta (2025) (5.1%),"baisses, implication, parties, prenantes, montrent"
1,Sanfo (2021),2021,"Contextes spécifiques : conflits, mines, multilinguisme",7.22,Sanfo (2020) (7.9%); Mugendawala et Muijs (2020) (7.5%); Sanfo (2023) (6.2%),"enseignants, directeurs, pedagogiques, communautes, extraction"
55,"Ishii et Ogawa, (2024)",2024,Efficience et efficacité des systèmes éducatifs,7.06,"Conto et al., (2023) (7.8%); Dickerson et al., (2015) (7.0%); Kadio (2025) (6.4%)","participation, parents, communaute, genre, autonomie"
24,Spaul (2011),2011,"Contextes spécifiques : conflits, mines, multilinguisme",6.95,"Michelowa (2001) (8.2%); Kuecken et al., (2013) (6.7%); Yu et Thomas (2008) (5.9%)","politiques, devoirs, prescolaire, manuels, lecture"
16,Kazima (2014),2014,"Contextes spécifiques : conflits, mines, multilinguisme",6.94,"Kazima et al., (2022) (7.5%); Venkat et Spaull (2015) (6.7%); Taniguchi (2022) (6.6%)","mathematiques, qualifies, enseignants, botswana, beneficient"
28,Hungi et Thuku (2009),2009,"Contextes spécifiques : conflits, mines, multilinguisme",6.77,Atuhurra (2016) (9.4%); Yu et Thomas (2008) (6.4%); Servaas van der Berg (2008) (4.5%),"ete, age, milieu, socio-economique, rapport"
12,Hanchane et Kadio (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",6.73,"Lauchande et al., (2017) (7.4%); Sumida et Kawata (2021) (6.5%); Kadio et al., (2022) (6.3%)","apc, ressources, mise, uvre, revelent"
61,"Conto et al., (2023)",2023,Principaux résultats et recommandations de politique éducative,6.7,"Ishii et Ogawa, (2024) (7.8%); Yu et Thomas (2008) (6.5%); Sanfo (2020) (5.7%)","femmes, dirigees, mieux, parents, pratiques"
5,"Sanfo et al., (2024)",2024,"Contextes spécifiques : conflits, mines, multilinguisme",6.6,Yu et Thomas (2008) (8.1%); Sanfo (2023) (6.1%); Smith et Barrett (2010) (5.5%),"modele, instruction, disparites, facteurs, contextuels"
