study_id_1,author_1,year_1,theme_1,study_id_2,author_2,year_2,theme_2,same_theme,results_similarity,results_sim_pct,shared_result_keywords
40,Nguemkap et Dieng (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",46,"Ongo et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.293528,29.35,"mathematiques, lecture, scolaires, niveau, famille, specifiques"
60,Armstrong (2015),2015,Principaux résultats et recommandations de politique éducative,64,Kanyongo et Brown (2013),2013,Principaux résultats et recommandations de politique éducative,True,0.242399,24.24,"enseignants, mathematiques, ages, jeunes, formation, ameliorer"
29,Taniguchi (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",50,Taniguchi (2024),2024,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.185681,18.57,"enfants, ressources, meilleurs, ceux, ont, petite"
77,Sumida et Kawata (2021),2021,Facteurs socio-économiques et inégalités et participation communautaire,78,Burger (2011),2011,Facteurs socio-économiques et inégalités et participation communautaire,True,0.14856,14.86,"zones, rurales, differences, ressources, ecart, urbaines"
10,"Kadio et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",47,Kadio (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.135378,13.54,"ressources, utilisation, secteur, scolaires, public, negative"
76,Zhang (2006),2006,Facteurs socio-économiques et inégalités et participation communautaire,77,Sumida et Kawata (2021),2021,Facteurs socio-économiques et inégalités et participation communautaire,True,0.132705,13.27,"zones, rurales, differences, apprentissage, urbaines, scolaires"
76,Zhang (2006),2006,Facteurs socio-économiques et inégalités et participation communautaire,78,Burger (2011),2011,Facteurs socio-économiques et inégalités et participation communautaire,True,0.122928,12.29,"zones, rurales, ressources, differences, urbaines, scolaires"
26,Bennell (2023),2023,"Contextes spécifiques : conflits, mines, multilinguisme",67,"Lauchande et al., (2017)",2017,Principaux résultats et recommandations de politique éducative,False,0.108896,10.89,"cours, socio-economiques, milieux, issus, place, mettre"
25,Yu et Thomas (2008),2008,"Contextes spécifiques : conflits, mines, multilinguisme",47,Kadio (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.103883,10.39,"statut, socio-economique, ressources, parents, differences, ont"
6,"Kuecken et al., (2013)",2013,"Contextes spécifiques : conflits, mines, multilinguisme",7,Frölich et Michaelowa (2011),2011,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.103832,10.38,"manuels, partage, autres, acces, scolaires, connaissances"
25,Yu et Thomas (2008),2008,"Contextes spécifiques : conflits, mines, multilinguisme",39,"Kanyongo, et al., (2006)",2006,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.101487,10.15,"soutien, ressources, familial, facteurs, tels, mieux"
22,Dieng et Sy (2020),2020,"Contextes spécifiques : conflits, mines, multilinguisme",53,Figueiredo et Dieng (2016),2016,Efficience et efficacité des systèmes éducatifs,False,0.098831,9.88,"scolaires, organisations, internationales, gouvernements, explication, encourager"
59,Venkat et Spaull (2015),2015,Principaux résultats et recommandations de politique éducative,64,Kanyongo et Brown (2013),2013,Principaux résultats et recommandations de politique éducative,True,0.096572,9.66,"mathematiques, enseignants, ont, enseignement, connaissances, ayant"
14,Atuhurra (2016),2016,"Contextes spécifiques : conflits, mines, multilinguisme",28,Hungi et Thuku (2009),2009,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.094356,9.44,"prenantes, parties, socio-economique, primaires, politiques, inegalites"
39,"Kanyongo, et al., (2006)",2006,"Contextes spécifiques : conflits, mines, multilinguisme",80,Kanyongo et Ayieko (2017),2017,Facteurs socio-économiques et inégalités et participation communautaire,False,0.089324,8.93,"ressources, scolaires, predicteur, mieux, facteurs, encourager"
72,Miningou (2022),2022,Facteurs socio-économiques et inégalités et participation communautaire,75,Hossain et Bertta (2025),2025,Facteurs socio-économiques et inégalités et participation communautaire,True,0.085292,8.53,"scolaires, ressources, infrastructures, ecart, reduction, amelioration"
23,Mafang et al. (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",46,"Ongo et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.084702,8.47,"scolaires, mathematiques, conditions, vie, langue, influencent"
23,Mafang et al. (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",48,Bekkouche et Dupraz (2023),2023,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.084569,8.46,"obtiennent, mathematiques, francophone, equipement, renforcer, anglophone"
70,"Dickerson et al., (2015)",2015,Facteurs socio-économiques et inégalités et participation communautaire,72,Miningou (2022),2022,Facteurs socio-économiques et inégalités et participation communautaire,True,0.083674,8.37,"filles, sexes, mathematiques, ecart, scolaires, ressources"
26,Bennell (2023),2023,"Contextes spécifiques : conflits, mines, multilinguisme",45,Kadio (2025),2025,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.083537,8.35,"socio-economiques, politiques, inegalites, educatives, genre, disparites"
45,Kadio (2025),2025,"Contextes spécifiques : conflits, mines, multilinguisme",75,Hossain et Bertta (2025),2025,Facteurs socio-économiques et inégalités et participation communautaire,False,0.08306,8.31,"ressources, scolaires, socio-economiques, reduire, inegalites, concentrer"
24,Spaul (2011),2011,"Contextes spécifiques : conflits, mines, multilinguisme",49,Michelowa (2001),2001,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.081801,8.18,"manuels, enseignants, devraient, uvre, mises, important"
5,"Sanfo et al., (2024)",2024,"Contextes spécifiques : conflits, mines, multilinguisme",25,Yu et Thomas (2008),2008,"Contextes spécifiques : conflits, mines, multilinguisme",True,0.081268,8.13,"facteurs, contextuels, caracteristiques, tels, influencees"
1,Sanfo (2021),2021,"Contextes spécifiques : conflits, mines, multilinguisme",62,Sanfo (2020),2020,Principaux résultats et recommandations de politique éducative,False,0.079496,7.95,"directeurs, offre, gouvernement, devrait, ameliorer"
