study_id,table_index,row_index_in_table,author,year,country,theme,subtheme,objective,data,methodology,results_recommendations,cluster_id,taille_cluster,label_cluster,mots_cles_cluster
1,1,2,Sanfo (2021),2021,Burkina Faso,"Contextes spécifiques : conflits, mines, multilinguisme","Contextes spécifiques : conflits, mines, multilinguisme",Examiner l’effet des communautés minières sur la performance scolaire des élèves en lecture dans le primaire.,"PASEC, 2014",Modèle hiérarchique linéaire à trois niveaux.,"Résultats Les communautés d'extraction de l'or ont un impact négatif sur les résultats des élèves en lecture. Les antécédents de l'enfant, l'école et la communauté sont interconnectés dans le processus de production de l'apprentissage. Recommandations Le gouvernement devrait se concentrer sur les facteurs de l'offre, à savoir la qualité des enseignants et des directeurs. Réviser les priorités d’investissements en éducation. Fournir des ressources pédagogiques pertinentes aux écoles, améliorer les compétences pédagogiques des enseignants, et l'amélioration des capacités managériales des directeurs.",8,3,"Contextes spécifiques : conflits, mines, multilinguisme","conflits, contextes, specifiques, mines, multilinguisme, mathematiques"
2,1,3,Garrouste (2011),2011,Namibie,"Contextes spécifiques : conflits, mines, multilinguisme","Contextes spécifiques : conflits, mines, multilinguisme",Examiner le rôle de l'enseignement de la langue parlée à la maison sur les résultats en mathématiques dans le cycle primaire.,SACMEQ II,Modèle hiérarchique linéaire,"Résultats Les résultats confirment le rôle significatif des faibles compétences linguistiques sur résultats globaux en mathématiques. Au niveau de l'école, l'analyse montre que, dans l'ensemble, la réussite individuelle en mathématiques est facilitée dans les écoles où la proportion d'élèves sur la bonne voie (REPEAT) est plus élevée que dans les autres écoles. Les élèves ont également tendance à mieux réussir dans les écoles privées que dans les écoles gouvernementales. Les paramètres linguistiques jouent un rôle important sur la réussite scolaire. Recommandations Évaluer et améliorer la politique linguistique en matière d'éducation ; allouer des ressources pour la formation des enseignants ; développer des structures de supervision pour améliorer le climat disciplinaire.",8,3,"Contextes spécifiques : conflits, mines, multilinguisme","conflits, contextes, specifiques, mines, multilinguisme, mathematiques"
3,1,4,Lee et Rudolf (2022),2022,ASS 14 Pays,"Contextes spécifiques : conflits, mines, multilinguisme","Contextes spécifiques : conflits, mines, multilinguisme",Examine la relation entre la violence basée sur le genre liée à l'école et l'absentéisme des élèves dans 14 pays d'Afrique australe et orientale.,SACMEQ III,,"Résultats Environ 41,5 % des élèves ont signalé des incidents de harcèlement sexuel par d'autres élèves, tandis que 15,5 % ont signalé des abus par des enseignants. Le harcèlement sexuel par des enseignants augmente significativement l'absentéisme des élèves, avec une augmentation de 3,3 % lorsque le harcèlement se produit ""parfois"" et de 5,6 % lorsqu'il se produit ""souvent"". Les effets du harcèlement sur l'absentéisme sont similaires pour les élèves de sexe féminin et masculin.",5,2,"Contextes spécifiques : conflits, mines, multilinguisme","specifiques, contextes, conflits, mines, multilinguisme, harcelement"
4,1,5,Salah et Saxena (2025),2025,ASS 10 pays,"Contextes spécifiques : conflits, mines, multilinguisme","Contextes spécifiques : conflits, mines, multilinguisme",Analyser comment l'exposition aux conflits depuis la naissance affecte la compétence en lecture et en mathématiques des élèves.,PASEC 2014 et Armed Conflict Location & Event Data Project (ACLED),Modèle de Régression Linéaire,"Résultats L'exposition aux événements de conflits violents réduit significativement les compétences en lecture et en mathématiques des élèves. Les conflits vécus durant la petite enfance avant l'entrée à l'école ont un impact plus fort sur les résultats d'apprentissage que ceux vécus pendant les années scolaires. Les conflits ne semblent pas aggraver les écarts de performance entre les élèves selon le genre ou le statut socio-économique. Recommandations Investir dans la reconstruction et l'amélioration des infrastructures scolaires dans les zones touchées par des conflits. Mettre en place des programmes de soutien pour aider les enfants à surmonter les traumatismes liés aux conflits. Élaborer des politiques éducatives visant à réduire les effets des conflits sur l'apprentissage, en se concentrant sur les périodes critiques de développement de l'enfant.",8,3,"Contextes spécifiques : conflits, mines, multilinguisme","conflits, contextes, specifiques, mines, multilinguisme, mathematiques"
5,1,6,"Sanfo et al., (2024)",2024,"ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme","Contextes spécifiques : conflits, mines, multilinguisme",Investiguer les disparités dans les résultats d'apprentissage entre les élèves exposés à une langue officiel et ceux exposés à un contexte bilingue/multilingue dans quatorze pays francophones d'Afrique subsaharienne.,PASEC 2019,Régression quantile résiduelle,"Résultats Chaque modèle de moyen d’instruction peut entraîner des disparités dans les résultats d'apprentissage, l'ampleur de l'inégalité variant en fonction des niveaux de performance des élèves (faibles, moyens ou élevés). Les disparités sont également influencées par des facteurs contextuels tels que la résidence urbaine ou rurale de l'élève et les caractéristiques spécifiques du système éducatif en place. Recommandations Il est crucial de développer des politiques qui prennent en compte les caractéristiques des élèves (par exemple, leurs capacités) et les facteurs contextuels. Un modèle de langue d’instruction ne doit pas être appliqué de manière uniforme, mais adapté aux groupes d'élèves et aux contextes éducatifs spécifiques.",5,2,"Contextes spécifiques : conflits, mines, multilinguisme","specifiques, contextes, conflits, mines, multilinguisme, harcelement"
6,1,8,"Kuecken et al., (2013)",2013,"ASS, 11 pays","Contextes spécifiques : conflits, mines, multilinguisme",Ressources pédagogiques et infrastructures,Examiner l’effet des livres sur la performance des élèves dans le primaire.,SACMEQ II,MCO s’appuyant sur une analyse intra-étudiant,"Résultats Il n’existe pas d'impact moyen de l'accès aux manuels (propriété ou partage) sur les résultats de l'école primaire. Au contraire, ce n'est que pour les élèves ayant un statut socio-économique élevé qu'une forme d'accès aux manuels (le partage) a un impact positif. Recommandations Encourager le partage de manuels scolaires. Accroître l'accès aux manuels scolaires pour tous les élèves. Promouvoir les transferts de connaissances entre les élèves. Poursuivre la recherche dans d'autres contextes géographiques et culturels.",7,4,Ressources pédagogiques et infrastructures,"ressources, manuels, acces, contextes, specifiques, pedagogiques"
7,1,9,Frölich et Michaelowa (2011),2011,"ASS, 5 pays","Contextes spécifiques : conflits, mines, multilinguisme",Ressources pédagogiques et infrastructures,Examiner les effets directs et indirects des manuels sur les résultats des élèves,PASEC 2004,Estimation non paramétrique,"Résultats Les parents prennent leur décision d'achat d'un manuel uniquement en fonction des avantages de leurs propres enfants et ne prennent pas en compte les externalités positives sur les autres enfants. En d'autres termes, l'achat privé de manuels est susceptible d'être socialement sous-optimal parce que seule une partie des bénéfices revient à l'enfant lui-même. L'apprentissage des autres camarades de classe par le partage des livres, le partage des connaissances et les changements dans les méthodes d'enseignement des enseignants sont les canaux par lesquels la possession d'un manuel affecte la performance scolaire. Recommandations Maximiser les externalités positives des manuels scolaires en favorisant un accès équitable, en encourageant la collaboration entre les élèves et en sensibilisant les parents à leur importance. L'évaluation régulière de l'allocation des manuels permettrait d'ajuster la répartition en fonction des besoins spécifiques des élèves.",7,4,Ressources pédagogiques et infrastructures,"ressources, manuels, acces, contextes, specifiques, pedagogiques"
8,1,10,Zuze et Leibbrandt (2010),2010,Ouganda,"Contextes spécifiques : conflits, mines, multilinguisme",Ressources pédagogiques et infrastructures,Comprendre les effets directs et indirects des ressources dans le contexte d'un système d'éducation de masse en Ouganda.,SACMEQ II,Modèle hiérarchique linéaire à deux niveaux,"Résultats La composition sociale d'une école semble améliorer la qualité de l'enseignement, mais elle est également liée à des écarts plus importants entre les élèves riches et les élèves pauvres. L'alourdissement de la charge de travail des enseignants a l'effet le plus néfaste sur les élèves à faible revenu qui ont moins de ressources privées à consacrer à leurs études. La principale conclusion de l'analyse multiniveaux est que l'égalité d'accès à l'enseignement primaire formelle ne se traduit pas nécessairement par une égalité de résultats. L'implication politique est que l'égalisation de l'accès à l'éducation primaire formelle ne garantit pas l'égalité des chances. Recommandations L'amélioration des conditions de service des enseignants, en particulier ceux qui sont affectés dans des zones isolées.",7,4,Ressources pédagogiques et infrastructures,"ressources, manuels, acces, contextes, specifiques, pedagogiques"
9,1,11,"Fehrler et al., (2009)",2009,"ASS, 21 pays","Contextes spécifiques : conflits, mines, multilinguisme",Ressources pédagogiques et infrastructures,Estimer l'impact des ressources éducatives sur la réussite des élèves dans 21 pays d'Afrique subsaharienne.,SACMEQ et PASEC,Maximum de vraisemblance Modèle hiérarchique linéaire,"Résultats Les ressources pédagogiques, en particulier les manuels scolaires pour les matières fondamentales de lecture et de mathématiques, peuvent encore être considérées comme des ressources efficaces. Une éducation plus longue pour les enseignants améliore considérablement l'apprentissage des élèves. Cependant, l'effet est assez faible. Recommandations En ce qui concerne la formation des enseignants, l'accent doit être mis sur la qualité plutôt que sur la durée. Mettre des mécanismes sur pied pour veiller à une utilisation maximale du temps d'enseignement formel pour un enseignement efficace.",7,4,Ressources pédagogiques et infrastructures,"ressources, manuels, acces, contextes, specifiques, pedagogiques"
10,1,13,"Kadio et al., (2022)",2022,ASS 5 pays,"Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,Evaluer l’impact de l’approche par les compétences (APC) sur la qualité des apprentissages et la réduction des inégalités d’apprentissages,PASEC 2014,Modèle hiérarchique linéaire à deux niveaux,Résultats APC exerce une influence négative en raison d’une effectivité limitée conduisant à une inégalité structurelle des systèmes nationaux d’enseignements. Le genre et l’absence de redoublement expliquent les acquisitions scolaires dans les 5 pays. Recommandations Utilisation plus efficace des ressources dans les classes Réviser l’allocation des ressources disponibles à l’intérieur du secteur public de l’enseignement primaire Améliorer les inspections professionnelles pour favoriser une meilleure appropriation de l’APC,6,3,Politiques éducatives et réformes,"apc, competences, politiques, ressources, contextes, specifiques"
